,case_description,root_cause,golden_doc,golden_id
0,Inability to obtain the data scraped from commercial sites,Data formats change over time in the third-party data source,Design Definition Process (6.4.5),20
1,Ambiguity in the labeling protocol,-,System Requirements Definition Process (6.4.3),18
2,"Problems in data retrieval via API, such as incorrect parsing, fetching unnecessary data, and not testing data acquisition",Poor data pipeline decisions,Decision Management Process (6.3.3),10
3,Lack of comprehensive testing in ML projects before deployment,The need for testers specifically in the ML domain,Validation Process (6.4.13),28
4,Out-of-distribution (OOD) examples or novelty detection,Pandemic affected trends in the data,AI Data Engineering Process (6.4.8),23
5,Stream images designed by software teams may not be compatible with data ingestion required for ML models / Interruption in real-time data,Lack of stakeholders' knowledge in ML domain or their technical unawareness,Knowledge Management Process (6.2.6),7
6,Lack of a unified labeling protocol within different parts of the same projects ,Different teams identify their own annotation requirements separately for different parts of the same project and do not communicate,Stakeholder Needs and Requirements Definition Process (6.4.2),17
7,Excessively focusing on improving model accuracy while ignoring other important objectives of the project / Misalignment between engineering efforts and business objectives,Assumption that it will secure collaborations with potential partner companies,Project Planning Process (6.3.1),8
8,Lack of labelling protocol and dataset requirements specification,Impractical to annotate all the data due to its volume and resource constraints,System Requirements Definition Process (6.4.3),18
9,Compatibility issues arising from incompatible software versions,Lack of software version documentation,Configuration Management Process (6.3.5),12
10,Technical misalignment between hardware and model specifications such as the usage of dedicated hardware (System on Chip) leading to writing custom code for hardware-specific integration and the prolonged and laborious process of model integration,Premature hardware selection before considering the ML model,Integration Process (6.4.10),25
11,Increase in false positives during anomaly detection project using time-series data,The customer thinks that the reported model result is false positive due to lack of agreeing on requirements,System Requirements Definition Process (6.4.3),18
12,"The data has a limited number of labeled instances, and those that are labeled are biased",The limitation is due to limited resources for manual labeling,Project Planning Process (6.3.1),8
13,Uncertainty in data source structure,Lack of stakeholders' knowledge (customer) in ML domain or their technical unawareness on data requirements specification,AI Data Engineering Process (6.4.8),23
14,Difficulties in minimizing latency during deployment of LLMs ,"The complexity of the system, such as having multiple layers or components that add to the overall latency, use of latest technology, database choices, and the implementation of end-to-end systems",System Requirements Definition Process (6.4.3),18
15,Out-of-data-distribution (ODD) and concept drifts,"Users' keywords for search fluctuate which affects search engines' performance
",AI Data Engineering Process (6.4.8),23
16,"Failures in automated processes, such as the system creating new machines uncontrollably, leading to system instability","Reusing of existing model codes with insufficient documentation of data, code, and environment ",Implementation Process (6.4.9),24
17,Out-of-data-distribution (ODD) and concept drifts,"Users' keywords for search fluctuate which affects search engines' performance
",Continuous Validation Process (6.4.14),29
18,Lack of a unified labeling protocol within different parts of the same projects ,Different teams identify their own annotation requirements separately for different parts of the same project and do not communicate,Configuration Management Process (6.3.5),12
19,Data smells emerged due to inconsistency between previously labelled data and current data labeled with the revised labeling protocol,Ambiguity in the labeling protocol,AI Data Engineering Process (6.4.8),23
20,Ambiguity in the labeling protocol,The use cases of legitimate users and spammers are almost identical,Quality Management Process (6.2.5),6
21,Difficulty in selecting a representative validation dataset ,The need to validate the model with real-world data,Risk Management Process (6.3.4),11
22,The need for labelling protocol and training programs to ensure annotators understand and adhere to the labeling protocol,-,Quality Management Process (6.2.5),6
23,Understanding and reproducing the third-party pre-built model is time-consuming,No transparency regarding how the third-party pre-built model is trained and which input data the model is trained on,Configuration Management Process (6.3.5),12
24,Unable to include the documents exceeding the character size limitations of the embedding model into the datasets,Embedding size limitations of the third-party deep learning models,Acquisition Process (6.1.1),0
25,No previously labeled data,Customers video data do not inherently contain labels,System Requirements Definition Process (6.4.3),18
26,Missing downstream data during time series forecasting,Dependencies on upstream data sources,AI Data Engineering Process (6.4.8),23
27,The public dataset is not representative for the problem,They opted for using a public dataset rather than creating their own,Acquisition Process (6.1.1),0
28,High maintenance requirements for manuel data preprocessing for the upcoming data,Lack of human resources to find out the root causes of data problems ,Quality Assurance Process (6.3.8),15
29,Issues related to irrelevant and redundant data collection process,-,AI Data Engineering Process (6.4.8),23
30,Identification of issues with out-of-distribution (OOD) examples or novelty detection after model deployment,"Changes in objects data such as new generation shopping carts, indicating that the environment is chaotic and continuously evolving",Quality Assurance Process (6.3.8),15
31,Identification of issues with out-of-distribution (OOD) examples or novelty detection after model deployment,"Changes in objects data such as new generation shopping carts, indicating that the environment is chaotic and continuously evolving",Continuous Validation Process (6.4.14),29
32,Code duplication / Copy-paste coding,Multiple models sharing the same code,Verification Process (6.4.11),26
33,Model building was naively done such as testing a pre-trained model with publicly available data to see if it works and fine tuning the model ,"The shortage of relevant data forced the ML team to rely on less appropriate, publicly available datasets",AI Data Engineering Process (6.4.8),23
34,Having noisy data,Scraped commercial websites include duplicate and inconsistent user submission data ,AI Data Engineering Process (6.4.8),23
35,Partially correct outsourced labeled data,The use of outsourced data,Quality Assurance Process (6.3.8),15
36,Model update processes implemented temporarily for a single user's need (quick fix) are not scaled for all similar deployed models and they are not tested,Urgent customer needs are required to be solved in critical time,Maintenance Process (6.4.16),31
37,Out-of-distribution (OOD) examples,"Adversarial attacks by phishers, with spam content methods continuously evolving and improving",Quality Assurance Process (6.3.8),15
38,Lack of comprehensive testing in ML projects before deployment,The need for testers specifically in the ML domain,Human Resource Management Process (6.2.4),5
39,Potential loss of model and training progress due to interruptions such as power outage,Lack of experiment tracking which will let to define checkpoints and enable systematic model logging to recover from interruptions,Information Management Process (6.3.6),13
40,Ambiguity in the labeling protocol,-,Quality Management Process (6.2.5),6
41,Handling data from third-party sources and using it in the current model is challenging ,"Third-party data sources receive frequent updates, making continuous alignment challenging",AI Data Engineering Process (6.4.8),23
42,Experiencing memory leaks during data preprocessing step,Inadequate and untested third-party software dependencies ,Acquisition Process (6.1.1),0
43,Out-of-data-distribution (ODD) and concept drifts,"Users' keywords for search fluctuate which affects search engines' performance
",Operation Process (6.4.15),30
